TaxID	CLARK	Kaiju	Kraken
464	353	NA	NA	NA
465	693	NA	NA	NA
466	370	NA	NA	NA
467	358	NA	NA	NA
468	690	NA	NA	NA
469	1233	NA	NA	NA
470	1653	NA	NA	NA
471	15	NA	NA	NA
472	1051	NA	NA	NA
473	694	NA	NA	NA
474	234	NA	NA	NA
475	1151	NA	NA	NA
476	409	NA	NA	NA
477	1203	NA	NA	NA
478	1049	NA	NA	NA
479	511	NA	NA	NA
480	2057	NA	NA	NA
481	1323	NA	NA	NA
482	1995	NA	NA	NA
483	1467	NA	NA	NA
484	501	NA	NA	NA
485	745	NA	NA	NA
486	542	NA	NA	NA
487	159	NA	NA	NA
488	338	NA	NA	NA
489	697	NA	NA	NA
490	699	NA	NA	NA
491	75	NA	NA	NA
492	1871	NA	NA	NA
493	2066	NA	NA	NA
494	2264	NA	NA	NA
495	1280	NA	NA	NA
496	698	NA	NA	NA
497	1000	NA	NA	NA
498	497	NA	NA	NA
499	1009	NA	NA	NA
500	976	NA	NA	NA
501	728	NA	NA	NA
502	600	NA	NA	NA
503	1186	NA	NA	NA
504	686	NA	NA	NA
505	2089	NA	NA	NA
506	387	NA	NA	NA
507	2133	NA	NA	NA
508	2167	NA	NA	NA
509	2131	NA	NA	NA
510	2130	NA	NA	NA
511	2132	NA	NA	NA
512	2107	NA	NA	NA
513	1663	NA	NA	NA
514	1201	NA	NA	NA
515	1202	NA	NA	NA
516	72	NA	NA	NA
517	1393	NA	NA	NA
518	70	NA	NA	NA
519	68	NA	NA	NA
520	7	NA	NA	NA
521	1754	NA	NA	NA
522	796	NA	NA	NA
523	997	NA	NA	NA
524	81	NA	NA	NA
525	1781	NA	NA	NA
526	530	NA	NA	NA
527	1787	NA	NA	NA
528	260	NA	NA	NA
529	1159	NA	NA	NA
530	663	NA	NA	NA
531	715	NA	NA	NA
532	2186	NA	NA	NA
533	1443	NA	NA	NA
534	1845	NA	NA	NA
535	1794	NA	NA	NA
536	1791	NA	NA	NA
537	1972	NA	NA	NA
538	683	NA	NA	NA
539	1973	NA	NA	NA
540	594	NA	NA	NA
541	1250	NA	NA	NA
542	149	NA	NA	NA
543	435	NA	NA	NA
544	2139	NA	NA	NA
545	425	NA	NA	NA
546	1278	NA	NA	NA
547	2140	NA	NA	NA
548	504	NA	NA	NA
549	458	NA	NA	NA
550	428	NA	NA	NA
551	429	NA	NA	NA
552	1098	NA	NA	NA
553	432	NA	NA	NA
554	1677	NA	NA	NA
555	1130	NA	NA	NA
556	436	NA	NA	NA
557	473	NA	NA	NA
558	479	NA	NA	NA
559	486	NA	NA	NA
560	440	NA	NA	NA
561	441	NA	NA	NA
562	677	NA	NA	NA
563	1471	NA	NA	NA
564	493	NA	NA	NA
565	2055	NA	NA	NA
566	32	NA	NA	NA
567	448	NA	NA	NA
568	1532	NA	NA	NA
569	452	NA	NA	NA
570	457	NA	NA	NA
571	580	NA	NA	NA
572	1241	NA	NA	NA
573	1205	NA	NA	NA
574	544	NA	NA	NA
575	1206	NA	NA	NA
576	1238	NA	NA	NA
577	1848	NA	NA	NA
578	988	NA	NA	NA
579	805	NA	NA	NA
580	806	NA	NA	NA
581	389	NA	NA	NA
582	390	NA	NA	NA
583	1109	NA	NA	NA
584	61	NA	NA	NA
585	1253	NA	NA	NA
586	936	NA	NA	NA
587	1448	NA	NA	NA
588	1533	NA	NA	NA
589	850	NA	NA	NA
590	471	NA	NA	NA
591	1396	NA	NA	NA
592	678	NA	NA	NA
593	1027	NA	NA	NA
594	1604	NA	NA	NA
595	941	NA	NA	NA
596	673	NA	NA	NA
597	714	NA	NA	NA
598	578	NA	NA	NA
599	560	NA	NA	NA
600	621	NA	NA	NA
601	351	NA	NA	NA
602	708	NA	NA	NA
603	91	NA	NA	NA
604	467	NA	NA	NA
605	35	NA	NA	NA
606	63	NA	NA	NA
607	1210	NA	NA	NA
608	176	NA	NA	NA
609	709	NA	NA	NA
610	346	NA	NA	NA
611	1107	NA	NA	NA
612	169	NA	NA	NA
613	515	NA	NA	NA
614	1514	NA	NA	NA
615	576	NA	NA	NA
616	1445	NA	NA	NA
617	178	NA	NA	NA
618	1433	NA	NA	NA
619	1842	NA	NA	NA
620	1835	NA	NA	NA
621	577	NA	NA	NA
622	710	NA	NA	NA
623	1167	NA	NA	NA
624	394	NA	NA	NA
625	579	NA	NA	NA
626	424	NA	NA	NA
627	2004	NA	NA	NA
628	935	NA	NA	NA
629	692	NA	NA	NA
630	1622	NA	NA	NA
631	2197	NA	NA	NA
632	314	NA	NA	NA
633	1932	NA	NA	NA
634	1623	NA	NA	NA
635	1550	NA	NA	NA
636	50	NA	NA	NA
637	717	NA	NA	NA
638	1517	NA	NA	NA
639	2077	NA	NA	NA
640	1363	NA	NA	NA
641	548	NA	NA	NA
642	1136	NA	NA	NA
643	1333	NA	NA	NA
644	1650	NA	NA	NA
645	295	NA	NA	NA
646	118	NA	NA	NA
647	1579	NA	NA	NA
648	1582	NA	NA	NA
649	1580	NA	NA	NA
650	1229	NA	NA	NA
651	1581	NA	NA	NA
652	1780	NA	NA	NA
653	1962	NA	NA	NA
654	998	NA	NA	NA
655	2145	NA	NA	NA
656	1987	NA	NA	NA
657	2117	NA	NA	NA
658	143	NA	NA	NA
659	44	NA	NA	NA
660	1150	NA	NA	NA
661	2185	NA	NA	NA
662	1994	NA	NA	NA
663	916	NA	NA	NA
664	506	NA	NA	NA
665	732	NA	NA	NA
666	1372	NA	NA	NA
667	1505	NA	NA	NA
668	1874	NA	NA	NA
669	1626	NA	NA	NA
670	1938	NA	NA	NA
671	1534	NA	NA	NA
672	1586	NA	NA	NA
673	1358	NA	NA	NA
674	29	NA	NA	NA
675	2270	NA	NA	NA
676	1271	NA	NA	NA
677	1169	NA	NA	NA
678	993	NA	NA	NA
679	273	NA	NA	NA
680	5	NA	NA	NA
681	1813	NA	NA	NA
682	1887	NA	NA	NA
683	832	NA	NA	NA
684	1806	NA	NA	NA
685	756	NA	NA	NA
686	1330	NA	NA	NA
687	1988	NA	NA	NA
688	1735	NA	NA	NA
689	1328	NA	NA	NA
690	1608	NA	NA	NA
691	233	NA	NA	NA
692	249	NA	NA	NA
693	137	NA	NA	NA
694	2102	NA	NA	NA
695	2039	NA	NA	NA
696	945	NA	NA	NA
697	792	NA	NA	NA
698	2092	NA	NA	NA
699	136	NA	NA	NA
700	589	NA	NA	NA
701	206	NA	NA	NA
702	1654	NA	NA	NA
703	1168	NA	NA	NA
704	1478	NA	NA	NA
705	1116	NA	NA	NA
706	1727	NA	NA	NA
707	372	NA	NA	NA
708	1882	NA	NA	NA
709	1236	NA	NA	NA
710	2200	NA	NA	NA
711	1942	NA	NA	NA
712	2201	NA	NA	NA
713	807	NA	NA	NA
714	1661	NA	NA	NA
715	2202	NA	NA	NA
716	258	NA	NA	NA
717	1125	NA	NA	NA
718	2193	NA	NA	NA
719	2088	NA	NA	NA
720	2157	NA	NA	NA
721	1850	NA	NA	NA
722	817	NA	NA	NA
723	17	NA	NA	NA
724	512	NA	NA	NA
725	1872	NA	NA	NA
726	509	NA	NA	NA
727	809	NA	NA	NA
728	2181	NA	NA	NA
729	1851	NA	NA	NA
730	2184	NA	NA	NA
731	1646	NA	NA	NA
732	706	NA	NA	NA
733	851	NA	NA	NA
734	2204	NA	NA	NA
735	2189	NA	NA	NA
736	2191	NA	NA	NA
737	1371	NA	NA	NA
