TaxID	Kraken	Kaiju	CLARK
672	1492898	NA	NA	1
673	1495144	NA	1	NA
674	1495144	NA	NA	NA
675	1495336	NA	8	NA
676	1495336	NA	NA	NA
677	1495769	NA	1	NA
678	1495769	NA	NA	NA
679	149698	NA	2	NA
680	149698	NA	NA	NA
681	1497	NA	1	NA
682	1497	NA	NA	NA
683	15	NA	NA	NA
684	150	NA	NA	NA
685	1502216	NA	1	NA
686	1502216	NA	NA	NA
687	150247	NA	1	NA
688	150247	NA	NA	NA
689	1503054	NA	2	NA
690	1503054	NA	NA	NA
691	1504981	NA	1	NA
692	1504981	NA	NA	NA
693	1508657	NA	5	NA
694	1508657	NA	NA	NA
695	1509244	NA	NA	3
696	151	NA	NA	NA
697	1511	NA	3	NA
698	1511	NA	NA	1
699	1511	NA	NA	NA
700	1513	NA	4	NA
701	1513	NA	NA	NA
702	1514105	NA	1	NA
703	1514105	NA	NA	NA
704	152	NA	NA	NA
705	1528098	83	NA	NA
706	1528098	NA	1	NA
707	1528098	NA	NA	774
708	1528098	NA	NA	NA
709	1529069	NA	NA	1
710	153	NA	NA	NA
711	1534	NA	2	NA
712	1534	NA	NA	NA
713	1536772	NA	1	NA
714	1536772	NA	NA	NA
715	154	NA	NA	NA
716	1546257	NA	2	NA
717	1546257	NA	NA	NA
718	1547283	NA	5	NA
719	1547283	NA	NA	NA
720	1548547	NA	14	NA
721	1548547	NA	NA	NA
722	1549855	NA	NA	1
723	1549858	NA	1	NA
724	1549858	NA	NA	NA
725	155	NA	NA	NA
726	1552	NA	2	NA
727	1552	NA	NA	NA
728	1555112	NA	1	NA
729	1555112	NA	NA	NA
730	156	NA	NA	NA
731	1560345	NA	1	NA
732	1560345	NA	NA	NA
733	1561	NA	1	NA
734	1561	NA	NA	NA
735	1564114	NA	1	NA
736	1564114	NA	NA	NA
737	1564681	NA	3	NA
738	1564681	NA	NA	NA
739	1565	NA	NA	8
740	1565990	NA	1	NA
741	1565990	NA	NA	NA
742	1566358	NA	2	NA
743	1566358	NA	NA	1
744	1566358	NA	NA	NA
745	157	NA	1	NA
746	157	NA	NA	NA
747	157920	NA	1	NA
748	157920	NA	NA	NA
749	1579316	NA	1	NA
750	1579316	NA	NA	1
751	1579316	NA	NA	NA
752	158	NA	NA	NA
753	158189	NA	2	NA
754	158189	NA	NA	NA
755	158190	NA	1	NA
756	158190	NA	NA	NA
757	1583098	NA	NA	1
758	1584	NA	1	NA
