TaxID	Kraken	Kaiju	CLARK
709	1118	NA	9	NA
710	1118	NA	NA	NA
711	1118963	NA	3	NA
712	1118963	NA	NA	3
713	1118963	NA	NA	NA
714	1119	NA	NA	NA
715	112	NA	11	NA
716	112	NA	NA	NA
717	1120	NA	NA	NA
718	1121	NA	NA	NA
719	1121088	NA	7	NA
720	1121088	NA	NA	NA
721	1121267	NA	23	NA
722	1121267	NA	NA	NA
723	1121335	NA	2	NA
724	1121335	NA	NA	NA
725	1121353	NA	44	NA
726	1121353	NA	NA	NA
727	1121358	13	NA	NA
728	1121358	NA	NA	17
729	1121358	NA	NA	NA
730	1121362	NA	42	NA
731	1121362	NA	NA	NA
732	1122	NA	NA	NA
733	1122214	NA	6	NA
734	1122214	NA	NA	NA
735	1122230	NA	15	NA
736	1122230	NA	NA	NA
737	1122233	NA	5	NA
738	1122233	NA	NA	NA
739	1122984	NA	3201	NA
740	1122984	NA	NA	NA
741	1123	NA	NA	NA
742	1123016	NA	14	NA
743	1123016	NA	NA	NA
744	1123269	NA	24	NA
745	1123269	NA	NA	NA
746	1123366	NA	24	NA
747	1123366	NA	NA	NA
748	1123384	NA	6	NA
749	1123384	NA	NA	NA
750	1123519	NA	14	NA
751	1123519	NA	NA	NA
752	1124	NA	NA	NA
753	1124597	NA	NA	28
754	1124849	NA	4	NA
755	1124849	NA	NA	NA
756	1124991	NA	9	NA
757	1124991	NA	NA	NA
758	1125	NA	NA	NA
759	1125411	NA	13	NA
760	1125411	NA	NA	NA
761	1125847	NA	11	NA
762	1125847	NA	NA	11
763	1125847	NA	NA	NA
764	1126	NA	33	NA
765	1126	NA	NA	4
766	1126	NA	NA	NA
767	1126833	NA	28	NA
768	1126833	NA	NA	4
769	1126833	NA	NA	NA
770	1127	NA	NA	NA
771	1127134	NA	17	NA
772	1127134	NA	NA	NA
773	1127516	NA	1	NA
774	1127516	NA	NA	NA
775	1127518	NA	1	NA
776	1127518	NA	NA	NA
777	1127744	NA	4	NA
778	1127744	NA	NA	NA
779	1128	NA	NA	NA
780	1128398	NA	54	NA
781	1128398	NA	NA	NA
782	1128424	NA	1	NA
783	1128424	NA	NA	NA
784	1129	NA	51	NA
785	1129	NA	NA	NA
786	1129771	NA	144	NA
787	1129771	NA	NA	NA
788	1129794	NA	25	NA
789	1129794	NA	NA	NA
790	113	NA	NA	NA
791	1130	NA	NA	NA
792	1130798	NA	49	NA
793	1130798	NA	NA	NA
794	1130804	NA	48	NA
795	1130804	NA	NA	NA
796	1130828	NA	4	NA
797	1130828	NA	NA	NA
798	1131	NA	NA	NA
799	1131462	NA	2	NA
800	1131462	NA	NA	NA
801	1131707	NA	NA	2
802	1132	NA	NA	NA
803	1132496	NA	14	NA
804	1132496	NA	NA	NA
805	1132508	NA	1	NA
806	1132508	NA	NA	NA
807	1132509	NA	4	NA
808	1132509	NA	NA	NA
809	113267	12	NA	NA
810	113267	NA	NA	12
811	113267	NA	NA	NA
812	1133	NA	NA	NA
813	1133849	NA	28	NA
814	1133849	NA	NA	NA
815	1134	NA	NA	NA
816	1134405	NA	NA	2
817	1134435	15	NA	NA
818	1134435	NA	32	NA
819	1134435	NA	NA	15
820	1134435	NA	NA	NA
821	1134687	11	NA	NA
822	1134687	NA	78	NA
823	1134687	NA	NA	16
824	1134687	NA	NA	NA
825	1135	NA	NA	NA
